URL	Status	Result	ResponseURL	PageTitle	PageTitleAlex	PageTitleStatus	MetaDescription	MetaDescriptionAlex	MetaDescriptionStatus	MetaKeyword	PriMetaKeywordAlex	SecMetaKeywordAlex	TrtMetaKeywordAlex	PriMetaKeywordStatus	SecMetaKeywordStatus	TrtMetaKeywordStatus	H1	H1Alex	H1Status
https://www.villaplus.com/destinations/cyprus/peyia	301	MovedPermanently	https://www.villaplus.com/destinations/cyprus/peyia	Holiday Villas in Peyia 2017 | Villa Plus		NOT MAPPED	Discover the resort of Cyprus when you book your holiday villa in Peyia, offering an â€™old fashionedâ€™ feel with traditional tavernas and excellent fare.		NOT MAPPED	"Villas In Peyia" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Peyia		FAIL
https://www.villaplus.com/destinations/cyprus/latchi	301	MovedPermanently	https://www.villaplus.com/destinations/cyprus/latchi	Latchi Holiday Villas 2017 | Villa Plus		NOT MAPPED	Explore the Latchi holiday villas when you book your stay in Cyprus, offering a newly modernised harbour and excellent fish tavernas. Book with us today.		NOT MAPPED	"Villas In Latchi" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Latchi		FAIL
https://www.villaplus.com/destinations/cyprus/polis	301	MovedPermanently	https://www.villaplus.com/destinations/cyprus/polis	Holiday Villas in Polis 2017 | Villa Plus		NOT MAPPED	Book your holiday villa in Polis, Cyprus, known for its vibrant village square with the beach just a ten minute walk away. Book with us today!		NOT MAPPED	"Villas In Polis" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Polis		FAIL
https://www.villaplus.com/destinations/cyprus/protaras	301	MovedPermanently	https://www.villaplus.com/destinations/cyprus/protaras	Protaras Villa Holidays 2017 | Villa Plus		NOT MAPPED	Book a Protaras villa holiday in Cyprus. The location is renowned for its fantastic sub-tropical climate. Book with us today - only 10% deposit.		NOT MAPPED	"Villas In Protaras" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Protaras		FAIL
https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-bosch	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-spain/villas-in-balearic-islands/menorca/calan-bosch	Holiday Villas in Calan Bosch 2017 | Villa Plus		NOT MAPPED	Book your holiday villa in Calan Bosch at one of Menorcaâ€™s liveliest family holiday resorts, offering a range of shops, restaurants, snack bars and more.		NOT MAPPED	"Villas In Calan Bosch" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Calan Bosch		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/carvoeiro/villa-fontes	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/carvoeiro/villa-fontes	Villa Fontes In Carvoeiro, Algarve | Villa Plus		NOT MAPPED	Villa Fontes is a beautiful 3 bedroom villa with private pool, wifi, Pool heat, air con, PoolFence. Book now and pay only 10% deposit!		NOT MAPPED	"Villa Fontes in Carvoeiro, Villa Fontes, Villa in Carvoeiro, Carvoeiro villas, Algarve villas, villas in Algarve, villa plus" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Villa Fontes, Carvoeiro, Algarve		FAIL
https://www.villaplus.com/destinations/villas-in-portugal/algarve/sao-rafael-castelo-gale/villa-primavera	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-portugal/algarve/sao-rafael-castelo-gale/villa-primavera	Villa Primavera In Sao Rafael, Castelo, Gale, Algarve | Villa Plus		NOT MAPPED	Villa Primavera is a beautiful 3 bedroom villa with private pool, wifi, Pool heat, air con, PoolFence. Book now and pay only 10% deposit!		NOT MAPPED	"Villa Primavera in Sao Rafael Castelo Gale, Villa Primavera, Villa in Sao Rafael Castelo Gale, Sao Rafael Castelo Gale villas, Algarve villas, villas in Algarve, villa plus" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Villa Primavera, Sao Rafael, Castelo, Gale, Algarve		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/sidari	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/sidari	Holiday Villas in Sidari 2017 | Villa Plus		NOT MAPPED	Choose from a selection of holiday villas in Sidari, Corfu, and enjoy the perfect summer break incl. a fantastic variety of restaurants &amp; music bars.		NOT MAPPED	"Villas In Sidari" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Sidari		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/acharavi	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/acharavi	Villas In Acharavi  | Acharavi  Villas | Villa Plus		NOT MAPPED	Stay at the large and lively resort of Acharavi, Corfu for a choice of restaurants, bars, tavernas, shops and cafes just walking distance from the beach.		NOT MAPPED	"Villas In Acharavi" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Acharavi		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/barbati	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/barbati	Holiday Villas in Barbati 2017 | Villa Plus		NOT MAPPED	Find holiday villas in Barbati, Corfu, featuring a beautiful beach with stunning views that cater to all ages. Book now &amp; take advantage of our offers!		NOT MAPPED	"Villas In Barbati" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Barbati		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/roda	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/roda	Villas In Roda | Roda Villas | Villa Plus		NOT MAPPED	Corfu Villa Holidays &amp; villas in Roda, Corfu		NOT MAPPED	"Villas In Roda" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Roda		FAIL
https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/coyevinas-avlaki	301	MovedPermanently	https://www.villaplus.com/destinations/villas-in-greek-islands/corfu/coyevinas-avlaki	Villas In Coyevinas and Avlaki  | Villa Plus		NOT MAPPED	Book an escape to the beautiful resort of Coyevinas/Avlaki in Corfu and enjoy the long curved beach and brilliant blue sea. Book today for excellent value.		NOT MAPPED	"Villas In Coyevinas/Avlaki" 				NOT MAPPED	NOT MAPPED	NOT MAPPED	Holiday Villas in the Resort of Coyevinas/Avlaki		FAIL
