URL	CANONICALTagsStatus	ResponseURL	CanonicalURLCheckFromPageSouce	CanonicalURLsStatus	AlternateStatus	AlternateURL	AlternateURLStatus
http://staging1.villaplus.com/owners/what-happens-next	FOUND	https://www.villaplus.com/owners/what-happens-next	http://staging1.villaplus.com/owners/what-happens-next	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/owners/health-and-safety	FOUND	https://www.villaplus.com/owners/health-and-safety	http://staging1.villaplus.com/owners/health-and-safety	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/feedback	FOUND	https://www.villaplus.com/feedback	http://staging1.villaplus.com/feedback	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/villas-in-portugal/algarve	FOUND	https://www.villaplus.com/destinations/villas-in-portugal/algarve	http://staging1.villaplus.com/destinations/villas-in-portugal/algarve	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-portugal/algarve	FAIL
http://staging1.villaplus.com/algarve/shopping	FOUND	https://www.villaplus.com/algarve/shopping	http://staging1.villaplus.com/algarve/shopping	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/cyprus/places-of-interest	FOUND	https://www.villaplus.com/cyprus/places-of-interest	http://staging1.villaplus.com/cyprus/places-of-interest	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/cyprus/shopping	FOUND	https://www.villaplus.com/cyprus/shopping	http://staging1.villaplus.com/cyprus/shopping	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/cyprus/car-hire	FOUND	https://www.villaplus.com/destinations/cyprus/car-hire	http://staging1.villaplus.com/destinations/cyprus/car-hire	FAIL	FOUND	http://m.villaplus.com/destinations/cyprus/car-hire	FAIL
http://staging1.villaplus.com/destinations/cyprus	FOUND	https://www.villaplus.com/destinations/cyprus	http://staging1.villaplus.com/destinations/cyprus	FAIL	FOUND	http://m.villaplus.com/destinations/cyprus	FAIL
http://staging1.villaplus.com/destinations/cyprus/sports	FOUND	https://www.villaplus.com/destinations/cyprus/sports	http://staging1.villaplus.com/destinations/cyprus/sports	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/cyprus/restaurants	FOUND	https://www.villaplus.com/destinations/cyprus/restaurants	http://staging1.villaplus.com/destinations/cyprus/restaurants	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/destinations/villas-in-portugal/algarve#beaches	FOUND	https://www.villaplus.com/destinations/villas-in-portugal/algarve	http://staging1.villaplus.com/destinations/villas-in-portugal/algarve#beaches	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-portugal/algarve#beaches	FAIL
http://staging1.villaplus.com/health-and-safety	FOUND	https://www.villaplus.com/health-and-safety	http://staging1.villaplus.com/health-and-safety	FAIL	FOUND	http://m.villaplus.com/health-and-safety	FAIL
http://staging1.villaplus.com/useful-information	FOUND	https://www.villaplus.com/useful-information	http://staging1.villaplus.com/useful-information	FAIL	FOUND	http://m.villaplus.com/useful-information	FAIL
http://staging1.villaplus.com/website-terms-of-use	FOUND	https://www.villaplus.com/website-terms-of-use	http://staging1.villaplus.com/website-terms-of-use	FAIL	FOUND	http://m.villaplus.com/website-terms-of-use	FAIL
http://staging1.villaplus.com/menorca/places-of-interest	FOUND	https://www.villaplus.com/menorca/places-of-interest	http://staging1.villaplus.com/menorca/places-of-interest	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/travel-insurance	FOUND	https://www.villaplus.com/travel-insurance	http://staging1.villaplus.com/travel-insurance	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/	FOUND	https://www.villaplus.com	http://staging1.villaplus.com/	FAIL	FOUND	http://m.villaplus.com/	FAIL
http://staging1.villaplus.com/destinations/villas-in-portugal/algarve/private-transfers	FOUND	https://www.villaplus.com/destinations/villas-in-portugal/algarve/private-transfers	http://staging1.villaplus.com/destinations/villas-in-portugal/algarve/private-transfers	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-portugal/algarve/private-transfers	FAIL
http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FOUND	https://www.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	http://staging1.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FAIL	FOUND	http://m.villaplus.com/destinations/villas-in-spain/villas-in-mainland-spain/costa-del-sol	FAIL
http://staging1.villaplus.com/rhodes/places-of-interest	FOUND	https://www.villaplus.com/rhodes/places-of-interest	http://staging1.villaplus.com/rhodes/places-of-interest	FAIL	NOT FOUND		FAIL
http://staging1.villaplus.com/majorca/places-of-interest	FOUND	https://www.villaplus.com/majorca/places-of-interest	http://staging1.villaplus.com/majorca/places-of-interest	FAIL	NOT FOUND		FAIL
